id	name	barcode	instr_id	instrument_name	state	created_by	created_at
47	090325_i581_30YEG_LT	30YEG	2828	i581	Completed	24	2009-03-28 14:48:20-04
829	110920_SN393_0187_BD04Y4ACXX_fail	D04Y4_fail	12299	h393	Failed	24	2011-09-26 16:05:38-04
168	090625_i581_GAIIX_validation_run	090625_i581_GAIIX_validation_run	2828	i581	Completed	24	2009-06-25 16:59:18-04
170	090702_i581_428CU_LT	428CU	2828	i581	Completed	24	2009-07-03 16:59:58-04
161	090615_i581_30H5C_LT	30H5C	2828	i581	Completed	24	2009-06-17 13:36:26-04
38	090302_I280_3120Y_LT	3120Y	2825	i280	Completed	24	2009-03-06 13:45:42-05
119	090528_I280_304HK_LT	304HK	2825	i280	Completed	24	2009-05-28 17:11:13-04
59	081211_I280_307T6_LT	307T6	2825	i280	Completed	24	2009-05-05 13:34:05-04
64	081221_I280_3080LA_TD	3080L	2825	i280	Completed	24	2009-05-05 15:00:18-04
65	090108_I280_307VF_LT	307VF	2825	i280	Completed	24	2009-05-05 16:23:01-04
83	090408_I280_314NU_LT	314NU	2825	i280	Completed	24	2009-05-07 11:28:41-04
87	090417_I280_302LF_LT	302LF	2825	i280	Completed	24	2009-05-07 11:48:27-04
79	090330_I280_301GU_LT	301GU	2825	i280	Completed	24	2009-05-07 10:33:49-04
75	090202_I280_303UL_LT	303UL	2825	i280	Completed	24	2009-05-07 10:18:57-04
155	090609_i280_428C9_LT	428C9	2825	i280	Completed	24	2009-06-09 17:16:43-04
46	090320_i280_3101L_LT	3101L	2825	i280	Completed	24	2009-03-28 14:46:48-04
18	081105_i280_3045N_LT	3045N	2825	i280	Completed	9	2008-11-06 15:01:36-05
839	11-09-28_M00146_0004_A-A049D	A049D	28979	m146	Completed	24	2011-10-04 15:55:37-04
840	11-09-30_M00146_0005_A-A04BK	A04BK	28979	m146	Completed	24	2011-10-04 15:56:30-04
842	11-10-06_M00146_0007_A-A06HH	A06HH	28979	m146	Completed	15	2011-10-18 12:05:46-04
846	11-10-20_M00146_0009_A-A07YF	A07YF	28979	m146	Completed	24	2011-10-24 15:35:26-04
847	11-10-18_M00146_0008_A-A07Y3	A07Y3	28979	m146	Completed	24	2011-10-24 15:48:42-04
825	110916_SN804_0064_AD04TBACXX	D04TB	18186	h804	Completed	24	2011-09-26 14:53:06-04
838	110929_SN203_0125_AD082UACXX	D082U	8940	h203	Completed	24	2011-09-30 15:32:18-04
835	110927_SN804_0069_BC0472ACXX	C0472	18186	h804	Completed	24	2011-09-28 11:27:16-04
836	110927_h239_0130_AC0476ACXX	C0476	8942	h239	Completed	24	2011-09-28 11:30:27-04
837	110929_SN203_0126_BD082FACXX	D082F	8940	h203	Completed	24	2011-09-30 14:55:51-04
873	111216_h801_0065_AD0813ACXX_failed	D0813	18185	h801	Failed	24	2011-12-20 10:15:19-05
845	10212011-2	10212011-2	29441	it1	Completed	24	2011-10-24 15:32:56-04
865	111130_h801_0064_AC043YACXX	C043Y	18185	h801	Completed	24	2011-12-07 12:25:35-05
889	120106_h804_0076_AD0LFWACXX	D0LFW	18186	h804	Completed	24	2012-01-10 16:11:44-05
901	120120_M00146_0024_AMS0001312-00300	AMS0001312	28979	m146	Completed	24	2012-01-23 12:59:25-05
913	120127_h804_0078_AC0GRMACXX	C0GRM	18186	h804	Completed	24	2012-02-03 12:16:24-05
646	110317_h239_0109_B81CHBABXX	81CHB	8942	h239	Completed	38	2011-03-21 15:32:39-04
916	120202_h1080_0093_BC0HCDACXX	C0HCD	29089	h1080	Completed	24	2012-02-07 09:29:29-05
923	120207_h804_0079_AD0PTFACXX	D0PTF	18186	h804	Completed	24	2012-02-22 16:44:05-05
932	120215_SN1080_0099_AC0GHPACXX	C0GHP	29089	h1080	Completed	24	2012-02-23 16:15:43-05
937	120301_h803_0084_AC0HVUACXX	C0HVU	18188	h803	Completed	24	2012-03-02 17:22:02-05
953	120316_h803_0085_BC0HW2ACXX_fail	C0HW2_fail	18188	h803	Failed	24	2012-03-17 11:57:46-04
943	120306_SN1080_0101_AC0K0JACXX	C0K0J	29089	h1080	Completed	24	2012-03-07 10:17:44-05
958	120327_h802_0081_BC0DU3ACXX	C0DU3	18187	h802	Completed	24	2012-03-28 09:32:07-04
961	120330_SN1080_0103_AD0V3UACXX	D0V3U	29089	h1080	Completed	24	2012-03-30 16:27:37-04
986	120426_h239_0152_BC0MNNACXX	C0MNN	8942	h239	Completed	24	2012-04-30 15:14:14-04
998	120517_SN7001205_0081_BD0VHYACXX	D0VHY	49099	h1205	Completed	24	2012-05-22 12:50:12-04
1012	120518_SN1068_0089_BC0J2BACXX	C0J2B	29090	h1068	Completed	24	2012-05-30 15:16:43-04
843	Solid_010_2011_10_05_84R2_84P4_FC1	Solid_010_2011_10_05_84R2_84P4_FC1	25954	x010	Completed	38	2011-10-20 09:39:36-04
665	110513_I580_00041_70GG8_JJ	70GG8	2827	i580	Completed	38	2011-05-17 10:26:48-04
666	110513_I581_00032_70CGE_LT	70CGE	2828	i581	Completed	24	2011-05-18 12:53:12-04
848	11-10-24_M00146_0010_A-A0803	A0803	28979	m146	Completed	24	2011-10-26 10:00:21-04
